scenario_id,estimate,p,ci_lo,ci_hi,valid_rate,passes,c1_semantic_margin_passes,c2_sesoi,c3_ci_excludes_zero,c4_holm_significant,c5_same_sign_as_margin,c6_sign_stable_strata,c7_no_reversing_position_interaction,c8_parse_rate,c9_wrong_branches_zero,c10_worst_case_ok
arb_component,0.03125,0.0004,-0.020833333333333332,0.08072916666666667,1.0,0,0,0,0,1,1,1,1,1,1,1
arb_docsection,0.0625,0.0002,0.0125,0.11914506392045449,1.0,0,0,0,1,1,1,1,1,1,1,1
arb_execmode,0.17838541666666666,0.0,0.13839285714285715,0.24375,1.0,0,0,1,1,1,1,1,1,1,1,1
arb_lint,0.14322916666666666,0.0,0.08854166666666667,0.1953125,1.0,0,0,1,1,1,1,1,1,1,1,1
arb_naming,0.052083333333333336,0.0008,-0.0026041666666666665,0.10677083333333333,1.0,0,0,0,0,1,1,1,1,1,1,1
arb_notes,-0.026041666666666668,0.0611,-0.08072916666666667,0.028645833333333332,1.0,0,0,0,0,0,1,0,0,1,1,1
arb_seed,-0.013020833333333334,0.1832,-0.06510416666666667,0.0390625,1.0,0,0,0,0,0,0,0,0,1,1,1
arb_setup,0.09244791666666667,0.0002,0.055288461538461536,0.18554835464015149,1.0,0,0,0,1,1,1,1,1,1,1,1
arb_shard,0.18229166666666666,0.0,0.13020833333333334,0.23177083333333334,1.0,0,0,1,1,1,1,1,1,1,1,1
arb_storage,0.015625,0.1031,-0.036458333333333336,0.06770833333333333,1.0,0,0,0,0,0,1,1,1,1,1,1
arb_testorder,0.041666666666666664,0.0012,-0.013020833333333334,0.09635416666666667,1.0,0,0,0,0,1,1,1,1,1,1,1
arb_traversal,0.12239583333333333,0.0,0.07291666666666667,0.171875,1.0,0,0,1,1,1,1,1,1,1,1,1
