item_id,scenario_id,channel,family,q_pole_0,q_pole_1,margin,margin_finite
ar-ar_component_library-i0-ar-o0-ll-c0-fe-5e2bfab31ea4,ar_component_library,AR,AR,-0.1907532988116145,-1.8083777158899466,-1.617624417078332,1
ar-ar_component_library-i0-ar-o0-ll-c0-fh-ba43613cb0e8,ar_component_library,AR,AR,-0.02151289882021956,-4.021178841587698,-3.9996659427674786,1
ar-ar_component_library-i0-ar-o0-ll-c1-fe-d24e8eaf1456,ar_component_library,AR,AR,-0.08211568574188277,-2.5812013149256927,-2.49908562918381,1
ar-ar_component_library-i0-ar-o0-ll-c1-fh-6abd9e7eba1f,ar_component_library,AR,AR,-0.09310838831879664,-2.4680097103116623,-2.3749013219928656,1
ar-ar_component_library-i0-ar-o0-ln-c0-fe-6bf0303cebd1,ar_component_library,AR,AR,-0.1191454385407269,-2.2401076546884724,-2.1209622161477455,1
ar-ar_component_library-i0-ar-o0-ln-c0-fh-3b2b9f44ebe6,ar_component_library,AR,AR,-0.014583321069949307,-4.389460921286627,-4.374877600216678,1
ar-ar_component_library-i0-ar-o0-ln-c1-fe-06e09cf359cd,ar_component_library,AR,AR,-0.10339639813173562,-2.35206925868971,-2.248672860557974,1
ar-ar_component_library-i0-ar-o0-ln-c1-fh-937b9e1b5746,ar_component_library,AR,AR,-0.07332236590445973,-2.697985649108773,-2.6246632832043133,1
ar-ar_component_library-i0-ar-o1-ll-c0-fe-f63989a2b39b,ar_component_library,AR,AR,-1.5060784816735122,-0.25855677644722164,1.2475217052262906,1
ar-ar_component_library-i0-ar-o1-ll-c0-fh-f22472a0342e,ar_component_library,AR,AR,-0.980837225913092,-0.48126917632180266,0.4995680495912893,1
ar-ar_component_library-i0-ar-o1-ll-c1-fe-80bf61e06d39,ar_component_library,AR,AR,-0.6359035244386178,-0.7788949199020863,-0.1429913954634685,1
ar-ar_component_library-i0-ar-o1-ll-c1-fh-ba0fa3fcedee,ar_component_library,AR,AR,-2.02188098430247,-0.1482053231447935,1.8736756611576766,1
ar-ar_component_library-i0-ar-o1-ln-c0-fe-fe9a06f054b3,ar_component_library,AR,AR,-1.316223025321392,-0.31902854796499014,0.9971944773564019,1
ar-ar_component_library-i0-ar-o1-ln-c0-fh-2a8c1258b75d,ar_component_library,AR,AR,-1.410954117774736,-0.28712564520537853,1.1238284725693575,1
ar-ar_component_library-i0-ar-o1-ln-c1-fe-42b5b7817db2,ar_component_library,AR,AR,-1.2264782188794925,-0.3581766956485808,0.8683015232309117,1
ar-ar_component_library-i0-ar-o1-ln-c1-fh-ec629aa07785,ar_component_library,AR,AR,-2.814664602278981,-0.0648673490359215,2.7497972532430595,1
ar-ar_component_library-i0-ro-o0-ll-c0-fx-e7c4499a3778,ar_component_library,RO,AR,-3.1737247705434584,-0.04872507229106304,3.1249996982523953,1
ar-ar_component_library-i0-ro-o0-ll-c1-fx-c63ace27368d,ar_component_library,RO,AR,-0.011792145666959186,-4.6368012427628855,-4.625009097095926,1
ar-ar_component_library-i0-ro-o0-ln-c0-fx-da4f020603f1,ar_component_library,RO,AR,-2.9363514184939277,-0.06135125458138191,2.8750001639125458,1
ar-ar_component_library-i0-ro-o0-ln-c1-fx-6f6b9250dc0e,ar_component_library,RO,AR,-0.014262895098909212,-4.38926720617701,-4.375004311078101,1
ar-ar_component_library-i0-ro-o1-ll-c0-fx-481e66c32e30,ar_component_library,RO,AR,-3.4118697642625193,-0.0368618033767234,3.375007960885796,1
ar-ar_component_library-i0-ro-o1-ll-c1-fx-688a9593a0b1,ar_component_library,RO,AR,-0.019708732131675788,-4.1447058916071455,-4.12499715947547,1
ar-ar_component_library-i0-ro-o1-ln-c0-fx-d7d9d8e6c7e9,ar_component_library,RO,AR,-3.5322060584908286,-0.032203048466271866,3.5000030100245567,1
ar-ar_component_library-i0-ro-o1-ln-c1-fx-6df1ecad9e79,ar_component_library,RO,AR,-0.054207425560434785,-3.0542056560509536,-2.999998230490519,1
ar-ar_component_library-i1-ar-o0-ll-c0-fe-2f6c762eb8e0,ar_component_library,AR,AR,-0.09802260156720877,-2.4678989975946024,-2.3698763960273936,1
ar-ar_component_library-i1-ar-o0-ll-c0-fh-91c1696a8513,ar_component_library,AR,AR,-0.02680895250523463,-3.7763314246449227,-3.749522472139688,1
