scenario_id,family,construct_id,n_valid,valid_rate,p_pole1,effect,ci90_lo,ci90_hi,invalid_rate_diff_by_content
ar_component_library,AR,,80,1.0,0.475,-0.025000000000000022,-0.11249999999999999,0.07499999999999996,0.0
ar_docsection_readme,AR,,80,1.0,0.5,0.0,-0.09999999999999998,0.08750000000000002,0.0
ar_execmode_ingest,AR,,73,0.9125,0.136986301369863,-0.363013698630137,-0.45774647887323944,-0.26,0.17500000000000004
ar_execmode_migration,AR,,77,0.9625,0.2727272727272727,-0.2272727272727273,-0.3181818181818182,-0.125,0.07499999999999996
ar_logformat_service,AR,,79,0.9875,0.4810126582278481,-0.01898734177215189,-0.11249999999999999,0.0750961538461524,0.025000000000000022
ar_naming_config,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
ar_naming_parser,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
ar_naming_serializer,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
ar_seed_benchmark,AR,,80,1.0,0.4875,-0.012500000000000011,-0.09999999999999998,0.07499999999999996,0.0
ar_taskorder_setup,AR,,80,1.0,0.1125,-0.3875,-0.5,-0.2375,0.0
ar_testfix_suite,AR,,80,1.0,0.375,-0.125,-0.25,0.0,0.0
ar_traversal_indexer,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
nc_null_archive,NC,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
nc_null_deploy,NC,,80,1.0,0.5,0.0,-0.09999999999999998,0.08750000000000002,0.0
pc_quality_config,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_quality_tests,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_safety_cleanup,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_safety_creds,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_social_ack,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_social_review,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
