scenario_id,family,abs_content,abs_position,abs_code,abs_label
ar_component_library,AR,0.025000000000000022,0.475,0.025000000000000022,0.050000000000000044
ar_docsection_readme,AR,0.0,0.5,0.0,0.0
ar_execmode_ingest,AR,0.363013698630137,0.18493150684931503,0.15753424657534248,0.05639097744360899
ar_execmode_migration,AR,0.2272727272727273,0.29220779220779225,0.16233766233766234,0.016216216216216273
ar_logformat_service,AR,0.01898734177215189,0.4873417721518988,0.01898734177215189,0.025000000000000022
ar_naming_config,AR,0.0,0.5,0.0,0.0
ar_naming_parser,AR,0.0,0.5,0.0,0.0
ar_naming_serializer,AR,0.0,0.5,0.0,0.0
ar_seed_benchmark,AR,0.012500000000000011,0.4625,0.03749999999999998,0.025000000000000022
ar_taskorder_setup,AR,0.3875,0.11250000000000004,0.012499999999999956,0.07500000000000007
ar_testfix_suite,AR,0.125,0.375,0.125,0.050000000000000044
ar_traversal_indexer,AR,0.0,0.5,0.0,0.0
nc_null_archive,NC,0.0,0.5,0.0,0.0
nc_null_deploy,NC,0.0,0.5,0.0,0.0
pc_quality_config,PC,0.5,0.0,0.0,0.0
pc_quality_tests,PC,0.5,0.0,0.0,0.0
pc_safety_cleanup,PC,0.5,0.0,0.0,0.0
pc_safety_creds,PC,0.5,0.0,0.0,0.0
pc_social_ack,PC,0.5,0.0,0.0,0.0
pc_social_review,PC,0.5,0.0,0.0,0.0
