pair_key,scenario_id,family,ar_frame,both_valid,agree_content,ar_pole1,ro_pole1,ar_margin,ro_margin
ar_component_library|i0|o0|letters|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-1.617624417078332,3.1249996982523953
ar_component_library|i0|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.49908562918381,-4.625009097095926
ar_component_library|i0|o0|numbers|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-2.1209622161477455,2.8750001639125458
ar_component_library|i0|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.248672860557974,-4.375004311078101
ar_component_library|i0|o1|letters|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.2475217052262906,3.375007960885796
ar_component_library|i0|o1|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-0.1429913954634685,-4.12499715947547
ar_component_library|i0|o1|numbers|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,0.9971944773564019,3.5000030100245567
ar_component_library|i0|o1|numbers|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.8683015232309117,-2.999998230490519
ar_component_library|i1|o0|letters|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-2.3698763960273936,2.6249992102402757
ar_component_library|i1|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.8740878846724627,-3.7500048745242793
ar_component_library|i1|o0|numbers|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-2.371101497221389,2.374999903142566
ar_component_library|i1|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.623967034741895,-3.7500021662523864
ar_component_library|i1|o1|letters|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.6221945516293772,2.7500064894258003
ar_component_library|i1|o1|letters|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.36146353190997615,-3.2499966397984963
ar_component_library|i1|o1|numbers|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.7463997402225004,2.8750031702153933
ar_component_library|i1|o1|numbers|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.7403845445660409,-2.624998219314307
ar_component_library|i2|o0|letters|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-0.9918734742095694,3.124999459834271
ar_component_library|i2|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.373070383095012,-3.6250034198035337
ar_component_library|i2|o0|numbers|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-1.4959621123016404,3.000000055879127
ar_component_library|i2|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.8725236656608786,-3.875001920383511
ar_component_library|i2|o1|letters|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.6221944927228833,2.8750048614817842
ar_component_library|i2|o1|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-0.13571232740650885,-3.2499983012723987
ar_component_library|i2|o1|numbers|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.4978148562362321,3.5000029690498877
ar_component_library|i2|o1|numbers|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.7433433938858798,-2.4999989941734384
ar_component_library|i3|o0|letters|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-2.6281161764636636,2.999998610469788
ar_component_library|i3|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-4.37139837280688,-3.25000235437858
ar_component_library|i3|o0|numbers|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-3.24790305912029,2.624999575317247
ar_component_library|i3|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-3.7413827963171116,-3.625001860778866
ar_component_library|i3|o1|letters|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,2.4736958444098036,2.1250035986197418
ar_component_library|i3|o1|letters|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.7365094805136323,-3.499996583919142
ar_component_library|i3|o1|numbers|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,2.216350823639459,2.8750027939612437
ar_component_library|i3|o1|numbers|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,1.1164144115755334,-2.874998018149313
ar_component_library|i4|o0|letters|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-1.86840847984422,2.999999370427531
ar_component_library|i4|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.123297014504942,-3.6250068749852744
ar_component_library|i4|o0|numbers|c0,ar_component_library,AR,enacted,1,0.0,0.0,1.0,-2.246445938555553,2.7500001713630127
ar_component_library|i4|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.9975237711325917,-3.500003345302275
ar_component_library|i4|o1|letters|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.495379033496647,2.25000926845928
ar_component_library|i4|o1|letters|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.6090623464842793,-3.4999966472516917
ar_component_library|i4|o1|numbers|c0,ar_component_library,AR,enacted,1,1.0,1.0,1.0,1.495379416736796,3.000004041928946
ar_component_library|i4|o1|numbers|c1,ar_component_library,AR,enacted,1,0.0,1.0,0.0,1.2441234565485502,-2.62499864399706
ar_docsection_readme|i0|o0|letters|c0,ar_docsection_readme,AR,enacted,1,0.0,0.0,1.0,-3.1457756250165403,1.8749981969631335
ar_docsection_readme|i0|o0|letters|c1,ar_docsection_readme,AR,enacted,1,1.0,0.0,0.0,-3.233960077165989,-4.125004021434279
ar_docsection_readme|i0|o0|numbers|c0,ar_docsection_readme,AR,enacted,1,0.0,0.0,1.0,-3.0068052332499065,1.3749983906768648
ar_docsection_readme|i0|o0|numbers|c1,ar_docsection_readme,AR,enacted,1,1.0,0.0,0.0,-3.2267519440500223,-4.000002462410748
ar_docsection_readme|i0|o1|letters|c0,ar_docsection_readme,AR,enacted,1,1.0,1.0,1.0,2.7374848937611205,4.000005073818556
ar_docsection_readme|i0|o1|letters|c1,ar_docsection_readme,AR,enacted,1,0.0,1.0,0.0,3.0051346919499338,-2.4999986663488016
ar_docsection_readme|i0|o1|numbers|c0,ar_docsection_readme,AR,enacted,1,1.0,1.0,1.0,2.6068459954111063,4.125002454958803
ar_docsection_readme|i0|o1|numbers|c1,ar_docsection_readme,AR,enacted,1,0.0,1.0,0.0,3.1288186503807083,-1.6249989420191469
ar_docsection_readme|i1|o0|letters|c0,ar_docsection_readme,AR,enacted,1,0.0,0.0,1.0,-3.4285614881664515,1.3749979287426868
ar_docsection_readme|i1|o0|letters|c1,ar_docsection_readme,AR,enacted,1,1.0,0.0,0.0,-3.3624867219476755,-3.625005299202485
ar_docsection_readme|i1|o0|numbers|c0,ar_docsection_readme,AR,enacted,1,0.0,0.0,1.0,-3.1624187520355918,0.7499992251406411
ar_docsection_readme|i1|o0|numbers|c1,ar_docsection_readme,AR,enacted,1,1.0,0.0,0.0,-3.601752229034844,-3.8750023245762577
