scenario_id,family,effect,ci90_lo,ci90_hi,nc_p95,margin_effect,loio,nuisances,c1_pc_gate,c2_sesoi,c3_ci_excludes_zero,c4_above_nc_floor,c5_sign_stable_strata,c6_loio,c7_nuisance_small,c8_margin_sign_agrees,c9_invalid_balance,c10_margin_variance,graduates,reason,nc_alarm
ar_component_library,AR,-0.025000000000000022,-0.11249999999999999,0.07499999999999996,0.11249999999999999,-0.025000000000000022,"{""i0"": -0.015625, ""i1"": -0.03125, ""i2"": -0.015625, ""i3"": -0.03125, ""i4"": -0.03125}","{""position_effect"": 0.475, ""label_effect"": -0.050000000000000044, ""code_effect"": -0.025000000000000022}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_docsection_readme,AR,0.0,-0.09999999999999998,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
ar_execmode_ingest,AR,-0.363013698630137,-0.45774647887323944,-0.26,0.11249999999999999,-0.3625,"{""i0"": -0.34745762711864403, ""i1"": -0.3793103448275862, ""i2"": -0.39655172413793105, ""i3"": -0.3305084745762712, ""i4"": -0.3620689655172414}","{""position_effect"": 0.18493150684931503, ""label_effect"": -0.05639097744360899, ""code_effect"": -0.15753424657534248}",1,1,1,1,1,1,0,1,0,1,0,c7_nuisance_small;c9_invalid_balance,0
ar_execmode_migration,AR,-0.2272727272727273,-0.3181818181818182,-0.125,0.11249999999999999,-0.22499999999999998,"{""i0"": -0.2096774193548387, ""i1"": -0.24193548387096775, ""i2"": -0.2540983606557377, ""i3"": -0.22580645161290325, ""i4"": -0.20491803278688525}","{""position_effect"": 0.29220779220779225, ""label_effect"": 0.016216216216216273, ""code_effect"": -0.16233766233766234}",1,1,1,1,0,1,0,1,0,1,0,c5_sign_stable_strata;c7_nuisance_small;c9_invalid_balance,0
ar_logformat_service,AR,-0.01898734177215189,-0.11249999999999999,0.0750961538461524,0.11249999999999999,-0.025000000000000022,"{""i0"": -0.015625, ""i1"": -0.023809523809523836, ""i2"": -0.023809523809523836, ""i3"": -0.023809523809523836, ""i4"": -0.007936507936507964}","{""position_effect"": 0.4873417721518988, ""label_effect"": -0.025000000000000022, ""code_effect"": 0.01898734177215189}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_naming_config,AR,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
ar_naming_parser,AR,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
ar_naming_serializer,AR,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
ar_seed_benchmark,AR,-0.012500000000000011,-0.09999999999999998,0.07499999999999996,0.11249999999999999,-0.012500000000000011,"{""i0"": -0.015625, ""i1"": -0.015625, ""i2"": -0.015625, ""i3"": 0.0, ""i4"": -0.015625}","{""position_effect"": 0.4625, ""label_effect"": -0.025000000000000022, ""code_effect"": -0.03749999999999998}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_taskorder_setup,AR,-0.3875,-0.5,-0.2375,0.11249999999999999,-0.4125,"{""i0"": -0.359375, ""i1"": -0.390625, ""i2"": -0.46875, ""i3"": -0.359375, ""i4"": -0.359375}","{""position_effect"": 0.11250000000000004, ""label_effect"": -0.07500000000000007, ""code_effect"": 0.012499999999999956}",1,1,1,1,1,1,0,1,1,1,0,c7_nuisance_small,0
ar_testfix_suite,AR,-0.125,-0.25,0.0,0.11249999999999999,-0.1375,"{""i0"": -0.09375, ""i1"": -0.15625, ""i2"": -0.125, ""i3"": -0.09375, ""i4"": -0.15625}","{""position_effect"": 0.375, ""label_effect"": -0.050000000000000044, ""code_effect"": -0.125}",1,1,0,1,0,1,0,1,1,1,0,c3_ci_excludes_zero;c5_sign_stable_strata;c7_nuisance_small,0
ar_traversal_indexer,AR,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
nc_null_archive,NC,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
nc_null_deploy,NC,0.0,-0.09999999999999998,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
pc_quality_config,PC,-0.5,-0.5,-0.5,0.11249999999999999,-0.5,"{""i0"": -0.5, ""i1"": -0.5, ""i2"": -0.5, ""i3"": -0.5, ""i4"": -0.5}","{""position_effect"": 0.0, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,1,1,1,1,1,1,1,1,1,0,all_pass,0
