scenario_id,family,strict_effect,margin_effect
ar_component_library,AR,-0.025000000000000022,-0.025000000000000022
ar_docsection_readme,AR,0.0,0.0
ar_execmode_ingest,AR,-0.363013698630137,-0.3625
ar_execmode_migration,AR,-0.2272727272727273,-0.22499999999999998
ar_logformat_service,AR,-0.01898734177215189,-0.025000000000000022
ar_naming_config,AR,0.0,0.0
ar_naming_parser,AR,0.0,0.0
ar_naming_serializer,AR,0.0,0.0
ar_seed_benchmark,AR,-0.012500000000000011,-0.012500000000000011
ar_taskorder_setup,AR,-0.3875,-0.4125
ar_testfix_suite,AR,-0.125,-0.1375
ar_traversal_indexer,AR,0.0,0.0
nc_null_archive,NC,0.0,0.0
nc_null_deploy,NC,0.0,0.0
pc_quality_config,PC,-0.5,-0.5
pc_quality_tests,PC,-0.5,-0.5
pc_safety_cleanup,PC,-0.5,-0.5
pc_safety_creds,PC,-0.5,-0.5
pc_social_ack,PC,-0.5,-0.5
pc_social_review,PC,-0.5,-0.5
