scenario_id,family,effect,ci90_lo,ci90_hi,nc_p95,margin_effect,loio,nuisances,c1_pc_gate,c2_sesoi,c3_ci_excludes_zero,c4_above_nc_floor,c5_sign_stable_strata,c6_loio,c7_nuisance_small,c8_margin_sign_agrees,c9_invalid_balance,c10_margin_variance,graduates,reason,nc_alarm
ar_component_library,AR,-0.22499999999999998,-0.3125,-0.1375,0.11249999999999999,-0.22499999999999998,"{""i0"": -0.21875, ""i1"": -0.21875, ""i2"": -0.21875, ""i3"": -0.25, ""i4"": -0.21875}","{""position_effect"": 0.275, ""label_effect"": 0.050000000000000044, ""code_effect"": -0.22499999999999998}",1,1,1,1,0,1,0,1,1,1,0,c5_sign_stable_strata;c7_nuisance_small,0
ar_docsection_readme,AR,-0.4375,-0.4875,-0.375,0.11249999999999999,-0.4375,"{""i0"": -0.453125, ""i1"": -0.421875, ""i2"": -0.453125, ""i3"": -0.4375, ""i4"": -0.421875}","{""position_effect"": 0.0625, ""label_effect"": 0.02499999999999991, ""code_effect"": 0.0625}",1,1,1,1,1,1,1,1,1,1,1,all_pass,0
ar_execmode_ingest,AR,-0.025000000000000022,-0.11249999999999999,0.07499999999999996,0.11249999999999999,-0.025000000000000022,"{""i0"": -0.03125, ""i1"": -0.03125, ""i2"": -0.03125, ""i3"": -0.015625, ""i4"": -0.015625}","{""position_effect"": 0.475, ""label_effect"": 0.050000000000000044, ""code_effect"": 0.025000000000000022}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_execmode_migration,AR,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
ar_logformat_service,AR,-0.0625,-0.16249999999999998,0.03749999999999998,0.11249999999999999,-0.0625,"{""i0"": -0.0625, ""i1"": -0.0625, ""i2"": -0.0625, ""i3"": -0.046875, ""i4"": -0.078125}","{""position_effect"": 0.4375, ""label_effect"": 0.07499999999999996, ""code_effect"": 0.0625}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_naming_config,AR,-0.03749999999999998,-0.1375,0.0625,0.11249999999999999,-0.03749999999999998,"{""i0"": -0.046875, ""i1"": -0.046875, ""i2"": -0.03125, ""i3"": -0.015625, ""i4"": -0.046875}","{""position_effect"": 0.4625, ""label_effect"": 0.025000000000000022, ""code_effect"": 0.03749999999999998}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_naming_parser,AR,-0.03749999999999998,-0.15000000000000002,0.0625,0.11249999999999999,-0.08750000000000002,"{""i0"": -0.046875, ""i1"": -0.046875, ""i2"": -0.046875, ""i3"": 0.0, ""i4"": -0.046875}","{""position_effect"": 0.4625, ""label_effect"": -0.025000000000000022, ""code_effect"": 0.03749999999999998}",1,0,0,0,0,0,0,1,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,0
ar_naming_serializer,AR,-0.125,-0.22499999999999998,-0.025000000000000022,0.11249999999999999,-0.16249999999999998,"{""i0"": -0.140625, ""i1"": -0.15625, ""i2"": -0.109375, ""i3"": -0.109375, ""i4"": -0.109375}","{""position_effect"": 0.375, ""label_effect"": 0.1499999999999999, ""code_effect"": -0.025000000000000022}",1,1,1,1,0,1,0,1,1,1,0,c5_sign_stable_strata;c7_nuisance_small,0
ar_seed_benchmark,AR,0.0,-0.08750000000000002,0.08750000000000002,0.11249999999999999,0.0,"{""i0"": 0.0, ""i1"": 0.0, ""i2"": 0.0, ""i3"": 0.0, ""i4"": 0.0}","{""position_effect"": 0.5, ""label_effect"": 0.0, ""code_effect"": 0.0}",1,0,0,0,0,0,0,0,1,1,0,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,0
ar_taskorder_setup,AR,-0.15000000000000002,-0.2625,-0.03749999999999998,0.11249999999999999,-0.125,"{""i0"": -0.125, ""i1"": -0.125, ""i2"": -0.1875, ""i3"": -0.171875, ""i4"": -0.140625}","{""position_effect"": 0.35, ""label_effect"": 0.050000000000000044, ""code_effect"": -0.15000000000000002}",1,1,1,1,0,1,0,1,1,1,0,c5_sign_stable_strata;c7_nuisance_small,0
