target_id,description,frozen_value,reconstructed_value,method,status,source_paths,notes
p3p1_confirm_hist_estimate,"P3-P1 confirmatory, historical Qwen control realization, equal-family estimate (nats)",-0.26095381407021523,-0.26095381407021523,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid/p3_grid_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid/p3_grid_olmo31-instruct.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid/p3_grid_qwen36-27b.parquet,"SOR quote -0.260954; 17 families / 52 facts. 17 family deltas vs registered parquet: max|diff| conf=0, repl=0"
p3p1_confirm_hist_exact_p,P3-P1 confirmatory historical: exact 2^17 family sign-flip p (two-sided),0.0623321533203125,0.0623321533203125,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid/p3_grid_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid/p3_grid_olmo31-instruct.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid/p3_grid_qwen36-27b.parquet,"SOR quote p=0.062332; extreme_patterns frozen=8170 recon=8170 of 131072; null distribution sha256 match=False; sha mismatch is BLAS-matvec ulp provenance (<=1 ulp, CPU-kernel dependent); all derived scalars bit-identical"
p3p1_confirm_randomization_ci,P3-P1 confirmatory: randomization-compatible 95% confidence set (exact shifted sign-flip inversion),"[-0.5351347692817003, 0.014564609215471869]","[-0.5351347692817003, 0.014564609215471869]",recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid/p3_grid_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid/p3_grid_olmo31-instruct.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid/p3_grid_qwen36-27b.parquet,"SOR quote [-0.535135, +0.014565]; 4001-point grid, deterministic"
p3p1_confirm_percentile_t_ci,P3-P1 confirmatory: wild-cluster percentile-t 95% CI (exact 2^17 Rademacher enumeration),"[-0.5371090521249412, 0.015201423984510853]","[-0.5371090521249412, 0.015201423984510853]",recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid/p3_grid_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid/p3_grid_olmo31-instruct.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid/p3_grid_qwen36-27b.parquet,"SOR quote [-0.537109, +0.015201]; t-distribution sha256 match=True"
p3p1_repl_estimate,P3-P1 replication equal-family estimate (nats),-0.19701962378486654,-0.19701962378486654,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid_replication/p3_grid_replication_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid_replication/p3_grid_replication_olmo31-instruct.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid_replication/p3_grid_replication_qwen36-27b.parquet,SOR quote -0.197020; 17 families
p3p1_repl_exact_p,P3-P1 replication: exact 2^17 family sign-flip p (two-sided),0.219482421875,0.219482421875,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid_replication/p3_grid_replication_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid_replication/p3_grid_replication_olmo31-instruct.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid_replication/p3_grid_replication_qwen36-27b.parquet,"SOR quote p=0.219482; extreme_patterns frozen=28768 recon=28768; null sha match=False; sha mismatch is BLAS-matvec ulp provenance (<=1 ulp, CPU-kernel dependent); all derived scalars bit-identical"
p3p1_confirm_sor_estimate,"P3-P1 confirmatory STATE OF RECORD: sha256-v1 Qwen control at seed 31337, equal-family estimate (nats)",-0.27118273835547047,-0.27118273835547047,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/release_audit/control_seed/p3_control_seed_audit_full_rows.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid/p3_grid_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid/p3_grid_olmo31-instruct.parquet,SOR quote -0.271183; Qwen lp rows are frozen GPU outputs at the explicit seed-31337 realization; statistic recomputed from them
p3p1_confirm_sor_exact_p,P3-P1 confirmatory STATE OF RECORD: exact 2^17 sign-flip p at seed 31337,0.057891845703125,0.057891845703125,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/release_audit/control_seed/p3_control_seed_audit_full_rows.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-think/p3_grid/p3_grid_olmo31-think.parquet; /content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/olmo31-instruct/p3_grid/p3_grid_olmo31-instruct.parquet,"SOR quote p=0.057892; extreme_patterns frozen=7588 recon=7588; null sha match=False; sha mismatch is BLAS-matvec ulp provenance (<=1 ulp, CPU-kernel dependent); all derived scalars bit-identical"
p3p2_confirm_estimate,"P3-P2 confirmatory: Qwen span-safe tail excess at -1 nat, equal-family estimate",0.09583333333333334,0.09583333333333334,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid/p3_grid_qwen36-27b.parquet,SOR quote +0.095833; 188 items / 26 families (frozen 188/26); bootstrap-route estimate recon=0.09583333333333334 vs frozen=0.09583333333333334
p3p2_confirm_p_plus_one,"P3-P2 confirmatory: plus-one MC p (100000 item sign flips, seed 4242)",9.99990000099999e-06,9.99990000099999e-06,recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase3_20260729/metrics/qwen36-27b/p3_grid/p3_grid_qwen36-27b.parquet,SOR quote p=1/100001; null distribution sha256 match=True
